x,y,z,eta_at,eta_cos,eta_ref,eta_sb,eta_trunc,eta
107.250000,11.664000,4.000000,0.978034,0.588273,0.920000,1.000000,0.499093,0.264181
105.360000,23.191000,4.000000,0.978034,0.617001,0.920000,0.997222,0.498952,0.276235
102.235000,34.447000,4.000000,0.978034,0.646319,0.920000,0.962222,0.498587,0.279000
97.911000,45.299000,4.000000,0.978034,0.675827,0.920000,0.898333,0.492653,0.269126
92.440000,55.619000,4.000000,0.978034,0.705174,0.920000,0.804722,0.464602,0.237227
85.884000,65.288000,4.000000,0.978034,0.734062,0.920000,0.688056,0.426916,0.194017
78.322000,74.191000,4.000000,0.978034,0.762218,0.920000,0.671111,0.375443,0.172806
69.841000,82.224000,4.000000,0.978034,0.789410,0.920000,0.721111,0.357822,0.183280
60.542000,89.293000,4.000000,0.978034,0.815430,0.920000,0.792778,0.422898,0.245989
50.533000,95.315000,4.000000,0.978034,0.840097,0.920000,0.877222,0.482011,0.319623
39.931000,100.220000,4.000000,0.978034,0.863250,0.920000,0.975000,0.495976,0.375616
28.862000,103.950000,4.000000,0.978034,0.884743,0.920000,1.000000,0.496276,0.395077
17.453000,106.461000,4.000000,0.978034,0.904456,0.920000,1.000000,0.495978,0.403637
5.841000,107.724000,4.000000,0.978034,0.922274,0.920000,1.000000,0.495686,0.411347
-5.841000,107.724000,4.000000,0.978034,0.938106,0.920000,1.000000,0.495423,0.418186
-17.453000,106.461000,4.000000,0.978034,0.951866,0.920000,1.000000,0.495177,0.424109
-28.862000,103.950000,4.000000,0.978034,0.963488,0.920000,1.000000,0.494957,0.429097
-39.931000,100.220000,4.000000,0.978034,0.972911,0.920000,1.000000,0.494767,0.433127
-50.533000,95.315000,4.000000,0.978034,0.980092,0.920000,1.000000,0.494613,0.436189
-60.542000,89.293000,4.000000,0.978034,0.984996,0.920000,1.000000,0.494505,0.438275
-69.841000,82.224000,4.000000,0.978034,0.987598,0.920000,1.000000,0.494447,0.439382
-78.322000,74.191000,4.000000,0.978034,0.987888,0.920000,1.000000,0.494441,0.439505
-85.884000,65.288000,4.000000,0.978034,0.985863,0.920000,1.000000,0.494486,0.438644
-92.440000,55.619000,4.000000,0.978034,0.981533,0.920000,1.000000,0.494582,0.436802
-97.911000,45.299000,4.000000,0.978034,0.974920,0.920000,1.000000,0.494725,0.433985
-102.235000,34.447000,4.000000,0.978034,0.966053,0.920000,1.000000,0.494907,0.430196
-105.360000,23.191000,4.000000,0.978034,0.954976,0.920000,1.000000,0.495118,0.425445
-107.250000,11.664000,4.000000,0.978034,0.941745,0.920000,1.000000,0.495358,0.419753
-107.882000,0.000000,4.000000,0.978034,0.926425,0.920000,1.000000,0.495625,0.413148
-107.250000,-11.664000,4.000000,0.978034,0.909095,0.920000,1.000000,0.495904,0.405647
-105.360000,-23.191000,4.000000,0.978034,0.889847,0.920000,1.000000,0.496201,0.397296
-102.235000,-34.447000,4.000000,0.978034,0.868786,0.920000,1.000000,0.496512,0.388137
-97.911000,-45.299000,4.000000,0.978034,0.846035,0.920000,1.000000,0.496828,0.378213
-92.440000,-55.619000,4.000000,0.978034,0.821735,0.920000,1.000000,0.497148,0.367586
-85.884000,-65.288000,4.000000,0.978034,0.796035,0.920000,1.000000,0.497453,0.356308
-78.322000,-74.191000,4.000000,0.978034,0.769117,0.920000,1.000000,0.497762,0.344474
-69.841000,-82.224000,4.000000,0.978034,0.741181,0.920000,1.000000,0.498038,0.332146
-60.542000,-89.293000,4.000000,0.978034,0.712455,0.920000,1.000000,0.498297,0.319438
-50.533000,-95.315000,4.000000,0.978034,0.683195,0.920000,1.000000,0.498529,0.306462
-39.931000,-100.220000,4.000000,0.978034,0.653696,0.920000,1.000000,0.498737,0.293352
-28.862000,-103.950000,4.000000,0.978034,0.624298,0.920000,1.000000,0.498912,0.280258
-17.453000,-106.461000,4.000000,0.978034,0.595380,0.920000,1.000000,0.499060,0.267355
-5.841000,-107.724000,4.000000,0.978034,0.567387,0.920000,1.000000,0.499182,0.254847
5.841000,-107.724000,4.000000,0.978034,0.540809,0.920000,1.000000,0.499280,0.242957
17.453000,-106.461000,4.000000,0.978034,0.516206,0.920000,1.000000,0.499359,0.231941
28.862000,-103.950000,4.000000,0.978034,0.494174,0.920000,1.000000,0.499422,0.222070
39.931000,-100.220000,4.000000,0.978034,0.475355,0.920000,1.000000,0.499470,0.213633
50.533000,-95.315000,4.000000,0.978034,0.460367,0.920000,1.000000,0.499505,0.206912
60.542000,-89.293000,4.000000,0.978034,0.449780,0.920000,1.000000,0.499523,0.202161
69.841000,-82.224000,4.000000,0.978034,0.444036,0.920000,1.000000,0.499537,0.199585
78.322000,-74.191000,4.000000,0.978034,0.443391,0.920000,1.000000,0.499541,0.199297
85.884000,-65.288000,4.000000,0.978034,0.447875,0.920000,1.000000,0.499525,0.201305
92.440000,-55.619000,4.000000,0.978034,0.457285,0.920000,1.000000,0.499511,0.205529
97.911000,-45.299000,4.000000,0.978034,0.471221,0.920000,1.000000,0.499480,0.211780
102.235000,-34.447000,4.000000,0.978034,0.489141,0.920000,1.000000,0.499435,0.219814
105.360000,-23.191000,4.000000,0.978034,0.510430,0.920000,1.000000,0.499376,0.229354
107.250000,-11.664000,4.000000,0.978034,0.534447,0.920000,1.000000,0.499301,0.240110
107.882000,0.000000,4.000000,0.978034,0.560585,0.920000,1.000000,0.499208,0.251805
121.217000,6.050000,4.000000,0.976774,0.558828,0.920000,1.000000,0.499152,0.250664
120.012000,18.089000,4.000000,0.976774,0.586368,0.920000,1.000000,0.499034,0.262955
117.615000,29.948000,4.000000,0.976774,0.614579,0.920000,0.998611,0.498894,0.275147
114.048000,41.510000,4.000000,0.976774,0.643115,0.920000,0.965000,0.498554,0.278041
109.348000,52.659000,4.000000,0.976774,0.671664,0.920000,0.905833,0.493869,0.270019
103.562000,63.285000,4.000000,0.976774,0.699959,0.920000,0.817778,0.471056,0.242305
96.746000,73.282000,4.000000,0.976774,0.727767,0.920000,0.707778,0.439008,0.203209
88.969000,82.551000,4.000000,0.976774,0.754879,0.920000,0.672500,0.392427,0.179023
80.307000,90.999000,4.000000,0.976774,0.781112,0.920000,0.725833,0.367980,0.187481
70.848000,98.543000,4.000000,0.976774,0.806302,0.920000,0.789722,0.417560,0.238931
