x,y,z,eta_at,eta_cos,eta_ref,eta_sb,eta_trunc,eta
107.250000,11.664000,4.000000,0.978034,0.588273,0.920000,1.000000,0.976562,0.516917
105.360000,23.191000,4.000000,0.978034,0.617001,0.920000,0.992188,0.968504,0.533486
102.235000,34.447000,4.000000,0.978034,0.646319,0.920000,0.953125,0.979508,0.542933
97.911000,45.299000,4.000000,0.978034,0.675827,0.920000,0.890625,0.969298,0.524964
92.440000,55.619000,4.000000,0.978034,0.705174,0.920000,0.785156,0.965174,0.480839
85.884000,65.288000,4.000000,0.978034,0.734062,0.920000,0.699219,0.960894,0.443775
78.322000,74.191000,4.000000,0.978034,0.762218,0.920000,0.695312,0.938202,0.447402
69.841000,82.224000,4.000000,0.978034,0.789410,0.920000,0.726562,0.924731,0.477236
60.542000,89.293000,4.000000,0.978034,0.815430,0.920000,0.781250,0.930000,0.533091
50.533000,95.315000,4.000000,0.978034,0.840097,0.920000,0.859375,0.936364,0.608273
39.931000,100.220000,4.000000,0.978034,0.863250,0.920000,0.964844,0.943320,0.706959
28.862000,103.950000,4.000000,0.978034,0.884743,0.920000,1.000000,0.945312,0.752548
17.453000,106.461000,4.000000,0.978034,0.904456,0.920000,1.000000,0.960938,0.782032
5.841000,107.724000,4.000000,0.978034,0.922274,0.920000,1.000000,0.968750,0.803921
-5.841000,107.724000,4.000000,0.978034,0.938106,0.920000,1.000000,0.968750,0.817722
-17.453000,106.461000,4.000000,0.978034,0.951866,0.920000,1.000000,0.976562,0.836407
-28.862000,103.950000,4.000000,0.978034,0.963488,0.920000,1.000000,0.976562,0.846619
-39.931000,100.220000,4.000000,0.978034,0.972911,0.920000,1.000000,0.992188,0.868578
-50.533000,95.315000,4.000000,0.978034,0.980092,0.920000,1.000000,1.000000,0.881879
-60.542000,89.293000,4.000000,0.978034,0.984996,0.920000,1.000000,1.000000,0.886290
-69.841000,82.224000,4.000000,0.978034,0.987598,0.920000,1.000000,1.000000,0.888632
-78.322000,74.191000,4.000000,0.978034,0.987888,0.920000,1.000000,1.000000,0.888893
-85.884000,65.288000,4.000000,0.978034,0.985863,0.920000,1.000000,1.000000,0.887071
-92.440000,55.619000,4.000000,0.978034,0.981533,0.920000,1.000000,1.000000,0.883175
-97.911000,45.299000,4.000000,0.978034,0.974920,0.920000,1.000000,0.992188,0.870371
-102.235000,34.447000,4.000000,0.978034,0.966053,0.920000,1.000000,0.984375,0.855664
-105.360000,23.191000,4.000000,0.978034,0.954976,0.920000,1.000000,0.976562,0.839140
-107.250000,11.664000,4.000000,0.978034,0.941745,0.920000,1.000000,0.968750,0.820894
-107.882000,0.000000,4.000000,0.978034,0.926425,0.920000,1.000000,0.968750,0.807539
-107.250000,-11.664000,4.000000,0.978034,0.909095,0.920000,1.000000,0.960938,0.786043
-105.360000,-23.191000,4.000000,0.978034,0.889847,0.920000,1.000000,0.953125,0.763145
-102.235000,-34.447000,4.000000,0.978034,0.868786,0.920000,1.000000,0.945312,0.738976
-97.911000,-45.299000,4.000000,0.978034,0.846035,0.920000,1.000000,0.945312,0.719624
-92.440000,-55.619000,4.000000,0.978034,0.821735,0.920000,1.000000,0.945312,0.698954
-85.884000,-65.288000,4.000000,0.978034,0.796035,0.920000,1.000000,0.945312,0.677094
-78.322000,-74.191000,4.000000,0.978034,0.769117,0.920000,1.000000,0.945312,0.654199
-69.841000,-82.224000,4.000000,0.978034,0.741181,0.920000,1.000000,0.945312,0.630437
-60.542000,-89.293000,4.000000,0.978034,0.712455,0.920000,1.000000,0.945312,0.606002
-50.533000,-95.315000,4.000000,0.978034,0.683195,0.920000,1.000000,0.945312,0.581115
-39.931000,-100.220000,4.000000,0.978034,0.653696,0.920000,1.000000,0.960938,0.565214
-28.862000,-103.950000,4.000000,0.978034,0.624298,0.920000,1.000000,0.960938,0.539795
-17.453000,-106.461000,4.000000,0.978034,0.595380,0.920000,1.000000,0.976562,0.523162
-5.841000,-107.724000,4.000000,0.978034,0.567387,0.920000,1.000000,0.976562,0.498565
5.841000,-107.724000,4.000000,0.978034,0.540809,0.920000,1.000000,0.992188,0.482814
17.453000,-106.461000,4.000000,0.978034,0.516206,0.920000,1.000000,1.000000,0.464478
28.862000,-103.950000,4.000000,0.978034,0.494174,0.920000,1.000000,1.000000,0.444654
39.931000,-100.220000,4.000000,0.978034,0.475355,0.920000,1.000000,1.000000,0.427720
50.533000,-95.315000,4.000000,0.978034,0.460367,0.920000,1.000000,0.984375,0.407761
60.542000,-89.293000,4.000000,0.978034,0.449780,0.920000,1.000000,0.960938,0.388899
69.841000,-82.224000,4.000000,0.978034,0.444036,0.920000,1.000000,0.968750,0.387054
78.322000,-74.191000,4.000000,0.978034,0.443391,0.920000,1.000000,0.984375,0.392725
85.884000,-65.288000,4.000000,0.978034,0.447875,0.920000,1.000000,0.953125,0.384103
92.440000,-55.619000,4.000000,0.978034,0.457285,0.920000,1.000000,0.976562,0.401818
97.911000,-45.299000,4.000000,0.978034,0.471221,0.920000,1.000000,1.000000,0.424000
102.235000,-34.447000,4.000000,0.978034,0.489141,0.920000,1.000000,1.000000,0.440125
105.360000,-23.191000,4.000000,0.978034,0.510430,0.920000,1.000000,1.000000,0.459280
107.250000,-11.664000,4.000000,0.978034,0.534447,0.920000,1.000000,0.992188,0.477134
107.882000,0.000000,4.000000,0.978034,0.560585,0.920000,1.000000,0.984375,0.496528
121.217000,6.050000,4.000000,0.976774,0.558828,0.920000,1.000000,0.992188,0.498257
120.012000,18.089000,4.000000,0.976774,0.586368,0.920000,1.000000,0.976562,0.514579
117.615000,29.948000,4.000000,0.976774,0.614579,0.920000,0.992188,0.984252,0.539336
114.048000,41.510000,4.000000,0.976774,0.643115,0.920000,0.953125,0.983607,0.541803
109.348000,52.659000,4.000000,0.976774,0.671664,0.920000,0.906250,0.982759,0.537562
103.562000,63.285000,4.000000,0.976774,0.699959,0.920000,0.828125,0.981132,0.511067
96.746000,73.282000,4.000000,0.976774,0.727767,0.920000,0.726562,0.973118,0.462395
88.969000,82.551000,4.000000,0.976774,0.754879,0.920000,0.679688,0.965517,0.445173
80.307000,90.999000,4.000000,0.976774,0.781112,0.920000,0.726562,0.946237,0.482578
70.848000,98.543000,4.000000,0.976774,0.806302,0.920000,0.796875,0.950980,0.549087
60.684000,105.107000,4.000000,0.976774,0.830307,0.920000,0.867188,0.954955,0.617897
49.917000,110.627000,4.000000,0.976774,0.852997,0.920000,0.929688,0.957983,0.682691
38.654000,115.048000,4.000000,0.976774,0.874257,0.920000,1.000000,0.968750,0.761084
27.007000,118.325000,4.000000,0.976774,0.893986,0.920000,1.000000,0.976562,0.784535
15.091000,120.426000,4.000000,0.976774,0.912093,0.920000,1.000000,0.976562,0.800425
3.026000,121.330000,4.000000,0.976774,0.928496,0.920000,1.000000,0.976562,0.814820
-9.070000,121.028000,4.000000,0.976774,0.943127,0.920000,0.964844,0.983806,0.804486
-21.075000,119.524000,4.000000,0.976774,0.955924,0.920000,0.953125,0.991803,0.812046
-32.871000,116.831000,4.000000,0.976774,0.966836,0.920000,0.937500,1.000000,0.814528
-44.341000,112.978000,4.000000,0.976774,0.975819,0.920000,0.937500,1.000000,0.822095
-55.369000,108.002000,4.000000,0.976774,0.982836,0.920000,0.929688,1.000000,0.821107
-65.848000,101.952000,4.000000,0.976774,0.987862,0.920000,0.937500,1.000000,0.832241
-75.671000,94.889000,4.000000,0.976774,0.990876,0.920000,0.921875,1.000000,0.820868
-84.743000,86.883000,4.000000,0.976774,0.991868,0.920000,0.902344,1.000000,0.804281
-92.973000,78.014000,4.000000,0.976774,0.990833,0.920000,0.882812,1.000000,0.786051
-100.279000,68.369000,4.000000,0.976774,0.987775,0.920000,0.863281,1.000000,0.766288
-106.588000,58.045000,4.000000,0.976774,0.982707,0.920000,0.875000,1.000000,0.772705
-111.837000,47.143000,4.000000,0.976774,0.975646,0.920000,0.859375,1.000000,0.753454
-115.976000,35.774000,4.000000,0.976774,0.966623,0.920000,0.871094,1.000000,0.756665
-118.961000,24.049000,4.000000,0.976774,0.955671,0.920000,0.847656,0.990783,0.721255
-120.764000,12.084000,4.000000,0.976774,0.942833,0.920000,0.886719,0.986784,0.741352
-121.368000,0.000000,4.000000,0.976774,0.928163,0.920000,0.949219,0.987654,0.781947
-120.764000,-12.084000,4.000000,0.976774,0.911723,0.920000,1.000000,0.976562,0.800101
-118.961000,-24.049000,4.000000,0.976774,0.893580,0.920000,1.000000,0.976562,0.784179
-115.976000,-35.774000,4.000000,0.976774,0.873818,0.920000,1.000000,0.968750,0.760702
-111.837000,-47.143000,4.000000,0.976774,0.852527,0.920000,1.000000,0.960938,0.736182
-106.588000,-58.045000,4.000000,0.976774,0.829807,0.920000,1.000000,0.960938,0.716562
-100.279000,-68.369000,4.000000,0.976774,0.805776,0.920000,1.000000,0.960938,0.695811
-92.973000,-78.014000,4.000000,0.976774,0.780560,0.920000,1.000000,0.960938,0.674036
-84.743000,-86.883000,4.000000,0.976774,0.754308,0.920000,1.000000,0.960938,0.651366
-75.671000,-94.889000,4.000000,0.976774,0.727179,0.920000,1.000000,0.960938,0.627940
-65.848000,-101.952000,4.000000,0.976774,0.699360,0.920000,1.000000,0.968750,0.608827
-55.369000,-108.002000,4.000000,0.976774,0.671054,0.920000,1.000000,0.968750,0.584186
-44.341000,-112.978000,4.000000,0.976774,0.642504,0.920000,1.000000,0.968750,0.559332
-32.871000,-116.831000,4.000000,0.976774,0.613973,0.920000,1.000000,0.976562,0.538804
-21.075000,-119.524000,4.000000,0.976774,0.585770,0.920000,1.000000,0.984375,0.518167
-9.070000,-121.028000,4.000000,0.976774,0.558249,0.920000,1.000000,0.992188,0.497741
3.026000,-121.330000,4.000000,0.976774,0.531805,0.920000,1.000000,0.992188,0.474163
15.091000,-120.426000,4.000000,0.976774,0.506894,0.920000,1.000000,1.000000,0.455512
27.007000,-118.325000,4.000000,0.976774,0.484016,0.920000,1.000000,1.000000,0.434952
38.654000,-115.048000,4.000000,0.976774,0.463716,0.920000,1.000000,1.000000,0.416710
49.917000,-110.627000,4.000000,0.976774,0.446560,0.920000,1.000000,1.000000,0.401293
60.684000,-105.107000,4.000000,0.976774,0.433101,0.920000,1.000000,0.984375,0.383117
70.848000,-98.543000,4.000000,0.976774,0.423830,0.920000,1.000000,0.960938,0.365989
80.307000,-90.999000,4.000000,0.976774,0.419121,0.920000,1.000000,0.968750,0.364865
88.969000,-82.551000,4.000000,0.976774,0.419171,0.920000,1.000000,0.968750,0.364909
96.746000,-73.282000,4.000000,0.976774,0.423982,0.920000,1.000000,0.960938,0.366121
103.562000,-63.285000,4.000000,0.976774,0.433347,0.920000,1.000000,0.984375,0.383335
109.348000,-52.659000,4.000000,0.976774,0.446891,0.920000,1.000000,1.000000,0.401591
114.048000,-41.510000,4.000000,0.976774,0.464120,0.920000,1.000000,1.000000,0.417073
117.615000,-29.948000,4.000000,0.976774,0.484481,0.920000,1.000000,1.000000,0.435370
120.012000,-18.089000,4.000000,0.976774,0.507407,0.920000,1.000000,1.000000,0.455972
121.217000,-6.050000,4.000000,0.976774,0.532356,0.920000,1.000000,0.992188,0.474654
134.294000,12.263000,4.000000,0.975478,0.558535,0.920000,1.000000,0.992188,0.497335
132.623000,24.424000,4.000000,0.975478,0.585158,0.920000,1.000000,0.984375,0.516939
129.852000,36.383000,4.000000,0.975478,0.612190,0.920000,0.992188,0.988189,0.538673
126.006000,48.040000,4.000000,0.975478,0.639364,0.920000,0.960938,0.991870,0.546895
121.115000,59.299000,4.000000,0.975478,0.666456,0.920000,0.917969,0.991489,0.544369
115.221000,70.067000,4.000000,0.975478,0.693263,0.920000,0.843750,0.986111,0.517658
108.372000,80.255000,4.000000,0.975478,0.719607,0.920000,0.738281,0.984127,0.469217
100.625000,89.777000,4.000000,0.975478,0.745329,0.920000,0.671875,0.970930,0.436345
92.044000,98.555000,4.000000,0.975478,0.770289,0.920000,0.710938,0.967033,0.475261
82.701000,106.517000,4.000000,0.975478,0.794362,0.920000,0.781250,0.970000,0.540238
72.672000,113.596000,4.000000,0.975478,0.817436,0.920000,0.832031,0.971831,0.593184
62.041000,119.734000,4.000000,0.975478,0.839409,0.920000,0.902344,0.974026,0.662097
50.896000,124.879000,4.000000,0.975478,0.860189,0.920000,0.980469,0.976096,0.738798
39.329000,128.990000,4.000000,0.975478,0.879697,0.920000,1.000000,0.984375,0.777140
27.437000,132.032000,4.000000,0.975478,0.897856,0.920000,1.000000,0.984375,0.793182
15.317000,133.980000,4.000000,0.975478,0.914603,0.920000,1.000000,0.984375,0.807976
3.070000,134.818000,4.000000,0.975478,0.929878,0.920000,0.945312,0.995868,0.785613
-9.203000,134.538000,4.000000,0.975478,0.943629,0.920000,0.890625,1.000000,0.754226
-21.399000,133.144000,4.000000,0.975478,0.955810,0.920000,0.847656,1.000000,0.727104
-33.418000,130.647000,4.000000,0.975478,0.966380,0.920000,0.871094,1.000000,0.755472
-45.159000,127.067000,4.000000,0.975478,0.975306,0.920000,0.843750,1.000000,0.738516
-56.527000,122.434000,4.000000,0.975478,0.982560,0.920000,0.859375,1.000000,0.757787
-67.426000,116.786000,4.000000,0.975478,0.988119,0.920000,0.824219,1.000000,0.730899
-77.767000,110.171000,4.000000,0.975478,0.991966,0.920000,0.843750,1.000000,0.751132
-87.463000,102.643000,4.000000,0.975478,0.994089,0.920000,0.843750,1.000000,0.752739
